@relation dados_robocode

@attribute distanciaInimigo numeric
@attribute velocidadeLateral numeric
@attribute potenciaBala numeric
@attribute acertou {SIM,NAO}

@data
0.1,0.0,1.4,NAO
0.4,0.6,1.4,NAO
0.2,0.2,1.2,NAO
0.1,0.6,1.8,NAO
0.2,0.6,3.0,NAO
0.1,0.4,2.8,SIM
0.1,0.3,2.4,SIM
0.1,0.2,2.6,SIM
0.1,0.2,2.8,NAO
0.1,0.4,2.0,SIM
0.1,0.5,1.2,SIM
0.2,0.4,3.0,NAO
0.3,0.6,3.0,NAO
0.4,0.4,2.8,SIM
0.5,0.4,1.4,NAO
0.7,0.5,1.2,NAO
0.6,0.4,2.0,NAO
0.5,0.6,3.0,NAO
0.6,0.3,1.2,NAO
0.3,0.5,2.8,NAO
0.4,0.4,2.0,NAO
0.2,0.3,2.8,NAO
0.2,0.4,2.0,NAO
0.1,0.5,3.0,SIM
0.2,0.6,1.2,SIM
0.1,0.0,3.0,NAO
0.1,0.3,1.2,SIM
0.1,0.4,1.6,NAO
0.3,0.2,1.8,NAO
0.3,0.6,1.6,NAO
0.1,0.0,2.8,NAO
0.2,0.6,2.4,NAO
0.1,0.2,1.4,SIM
0.1,0.1,2.8,SIM
0.3,0.1,2.4,NAO
0.2,0.6,1.8,SIM
0.1,0.6,2.0,SIM
0.2,0.4,1.2,NAO
0.0,0.5,2.6,SIM
0.1,0.6,1.2,SIM
0.2,0.2,1.8,NAO
0.2,0.6,1.2,NAO
0.1,0.6,2.8,SIM
0.1,0.3,3.0,NAO
0.2,0.6,2.0,SIM
0.3,0.2,2.2,NAO
0.1,0.2,1.4,SIM
0.1,0.2,1.8,SIM
0.1,0.4,2.0,NAO
0.1,0.4,1.6,NAO
0.1,0.3,1.4,SIM
0.1,0.6,2.2,SIM
0.2,0.3,2.4,NAO
0.1,0.6,2.6,NAO
0.1,0.4,1.6,SIM
0.1,0.6,1.6,SIM
0.1,0.1,2.0,SIM
0.1,0.2,1.8,SIM
0.1,0.3,1.6,SIM
0.1,0.2,1.4,SIM
0.1,0.5,1.8,SIM
0.2,0.5,1.6,NAO
0.2,0.6,2.4,NAO
0.1,0.2,2.4,NAO
0.1,0.6,1.2,SIM
0.1,0.1,1.8,SIM
0.1,0.3,3.0,NAO
0.2,0.2,2.0,NAO
0.1,0.6,2.8,NAO
0.2,0.5,2.8,NAO
0.1,0.5,1.2,SIM
0.4,0.6,2.6,NAO
0.4,0.2,1.8,NAO
0.3,0.6,2.4,NAO
0.1,0.6,1.4,SIM
0.2,0.0,1.2,NAO
0.1,0.6,2.4,SIM
0.1,0.5,2.4,SIM
0.1,0.5,2.0,SIM
0.1,0.4,1.2,SIM
0.1,0.0,3.0,SIM
0.1,0.5,1.4,SIM
0.1,0.3,1.2,SIM
0.1,0.5,1.2,SIM
0.1,0.1,1.8,NAO
0.1,0.6,2.8,SIM
0.1,0.3,2.0,NAO
0.2,0.2,1.2,SIM
0.2,0.0,1.4,NAO
0.4,0.6,2.4,NAO
0.4,0.0,1.8,NAO
0.2,0.6,2.4,NAO
0.3,0.2,2.6,NAO
0.2,0.6,1.2,SIM
0.1,0.4,1.6,NAO
0.5,0.3,1.2,NAO
0.6,0.6,2.8,NAO
0.3,0.3,1.6,NAO
0.4,0.5,3.0,NAO
0.5,0.0,2.0,NAO
0.1,0.6,1.4,SIM
0.1,0.1,1.4,SIM
0.2,0.3,3.0,NAO
0.1,0.6,1.6,SIM
0.1,0.3,2.6,SIM
0.2,0.5,2.2,NAO
0.0,0.0,2.2,SIM
0.1,0.0,3.0,SIM
0.1,0.4,1.4,NAO
0.1,0.5,1.8,NAO
0.1,0.5,1.6,SIM
0.1,0.6,2.8,SIM
0.2,0.1,2.2,NAO
0.1,0.6,1.4,NAO
0.1,0.4,2.6,SIM
0.1,0.2,3.0,SIM
0.1,0.5,2.6,SIM
0.1,0.4,1.4,SIM
0.2,0.1,3.0,NAO
0.2,0.6,2.0,SIM
0.3,0.5,1.8,SIM
0.1,0.2,2.0,NAO
0.1,0.4,2.6,NAO
0.2,0.2,2.2,NAO
0.1,0.6,1.2,SIM
0.3,0.1,1.2,NAO
0.3,0.6,1.2,SIM
0.2,0.2,2.0,NAO
0.3,0.6,1.4,NAO
0.1,0.5,2.0,SIM
0.2,0.6,2.2,NAO
0.2,0.6,2.0,SIM
0.1,0.4,3.0,SIM
0.1,0.5,3.0,SIM
0.1,0.6,2.2,SIM
0.2,0.3,2.8,NAO
0.1,0.6,1.2,NAO
0.1,0.3,1.4,SIM
0.3,0.5,1.2,NAO
0.3,0.3,1.6,NAO
0.2,0.3,1.6,SIM
0.1,0.2,1.6,NAO
0.1,0.6,3.0,SIM
0.1,0.0,2.6,SIM
0.1,0.3,1.4,SIM
0.2,0.4,1.4,SIM
