@relation robots

@attribute distanciaInimigo numeric
@attribute velocidadeLateral numeric
@attribute potenciaBala {0.5,3.0}
@attribute anguloArmaAtual numeric
@attribute anguloAbsolutoInimigo numeric
@attribute anguloArmaPreditor numeric
@attribute acertou {SIM,NAO}

@data
150.0,-3.19,0.5,1.45,1.55,-0.04,NAO
400.0,-4.84,3.0,2.15,2.22,-0.15,NAO
500.0,1.3,3.0,2.13,8.56,0.21,NAO
400.0,4.04,3.0,2.27,2.1,0.01,NAO
500.0,-1.98,3.0,1.61,8.06,0.08,NAO
500.0,7.93,3.0,2.08,1.73,0.01,NAO
100.0,-0.0,3.0,2.26,2.27,0.01,SIM
50.0,0.73,3.0,1.85,1.89,0.09,SIM
100.0,3.27,3.0,1.37,1.15,-0.0,SIM
350.0,6.96,3.0,0.99,2.42,1.75,SIM
300.0,7.33,3.0,2.62,2.66,0.37,NAO
300.0,7.25,3.0,3.03,2.7,-0.0,NAO
200.0,-0.0,3.0,2.97,2.97,0.0,SIM
150.0,-0.0,3.0,2.97,2.97,0.0,NAO
200.0,-0.0,3.0,2.31,2.34,0.03,NAO
400.0,-8.0,3.0,1.97,2.33,-0.0,NAO
300.0,-7.23,3.0,2.06,2.38,-0.01,NAO
550.0,-5.87,3.0,1.83,2.01,-0.09,NAO
500.0,-7.73,3.0,1.99,2.27,-0.07,SIM
450.0,0.96,3.0,2.21,2.14,-0.03,NAO
550.0,-2.8,3.0,2.03,1.96,-0.2,NAO
250.0,2.6,3.0,2.21,2.14,0.05,NAO
350.0,-0.14,3.0,2.14,2.14,-0.01,NAO
150.0,-2.17,0.5,1.67,1.77,0.0,NAO
200.0,7.5,3.0,2.59,2.25,0.0,NAO
700.0,-0.7,0.5,1.93,2.09,0.13,NAO
150.0,-5.52,3.0,2.69,2.88,-0.06,NAO
150.0,0.88,3.0,2.56,2.62,0.12,NAO
550.0,-0.82,3.0,2.96,2.97,-0.03,NAO
350.0,-0.6,3.0,2.91,2.92,-0.02,NAO
150.0,4.88,3.0,3.62,3.17,-0.12,NAO
150.0,-3.59,3.0,2.42,2.68,0.1,NAO
200.0,6.16,3.0,3.26,2.96,-0.02,NAO
200.0,7.25,3.0,3.24,2.93,0.02,NAO
450.0,7.21,3.0,3.65,3.33,0.01,NAO
700.0,0.0,3.0,2.17,2.1,-0.07,NAO
200.0,5.98,3.0,3.74,3.4,-0.07,NAO
300.0,-5.85,3.0,2.85,3.2,0.08,NAO
150.0,-0.07,3.0,4.03,4.06,0.03,NAO
150.0,-1.5,3.0,4.08,4.15,-0.03,SIM
500.0,5.99,3.0,1.83,1.57,0.01,NAO
150.0,-7.78,3.0,3.07,3.45,-0.14,NAO
550.0,0.04,3.0,2.82,2.88,0.06,SIM
400.0,-4.68,3.0,1.54,2.97,1.22,NAO
200.0,5.12,3.0,4.68,4.67,0.22,NAO
250.0,-5.04,0.5,4.19,4.5,0.08,NAO
200.0,-7.59,3.0,3.95,4.26,-0.04,NAO
300.0,-5.76,3.0,4.0,4.22,-0.04,SIM
400.0,-0.95,0.5,4.35,4.27,-0.12,NAO
300.0,3.39,3.0,0.74,0.57,-0.02,NAO
200.0,-8.0,3.0,0.07,0.4,-0.03,NAO
150.0,-6.45,3.0,5.64,-0.44,-0.09,SIM
150.0,-6.45,3.0,4.66,4.81,-0.14,NAO
450.0,5.12,3.0,4.59,4.35,-0.01,NAO
300.0,-3.92,3.0,4.46,4.54,-0.1,NAO
100.0,0.0,3.0,2.8,2.97,0.17,SIM
150.0,-1.87,3.0,3.76,3.92,0.08,NAO
200.0,3.08,3.0,2.94,2.79,-0.01,SIM
150.0,3.71,3.0,3.11,2.86,-0.08,NAO
200.0,1.88,3.0,4.22,4.14,0.01,NAO
100.0,0.02,3.0,3.8,3.86,0.06,NAO
100.0,-6.27,3.0,2.85,3.21,-0.06,SIM
250.0,5.09,3.0,3.9,3.69,0.02,NAO
150.0,-2.51,3.0,3.99,4.13,-0.03,SIM
200.0,3.16,3.0,4.36,4.18,-0.04,NAO
200.0,3.57,3.0,4.35,4.17,-0.02,SIM
200.0,3.33,3.0,4.3,4.15,0.0,NAO
